gameTime,monsterType,dragonType,gameId,positionX,positionY,killerTeam,killer,assistant1,assistant2,assistant3,assistant4,assistant5,assistant6,assistant7,assistant8,assistant9,assistant10
103587,raptor,,2677225,7721,10105,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
105451,raptor,,2677225,6977,4218,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
124131,redCamp,,2677225,7536,3296,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
130405,redCamp,,2677225,7461,11587,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
142444,krug,,2677225,8930,2397,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
142874,krug,,2677225,6728,12546,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
216871,scuttleCrab,,2677225,10887,4378,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
217970,blueCamp,,2677225,3630,8815,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
227818,scuttleCrab,,2677225,5479,9338,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
248647,raptor,,2677225,7564,9727,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
257011,blueCamp,,2677225,11621,6839,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
272729,gromp,,2677225,12343,6688,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
278227,raptor,,2677225,7137,5355,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
291470,wolf,,2677225,10077,9028,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
305376,krug,,2677225,8496,2444,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
319970,krug,,2677225,5434,12316,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
426228,dragon,chemtech,2677225,10114,4670,BLG,BLG XUN,BLG Yagao,BLG Elk,BLG ON,-,-,-,-,-,-,-
432689,raptor,,2677225,6910,5242,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
454166,gromp,,2677225,12076,6904,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
458970,redCamp,,2677225,8234,3512,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
472325,wolf,,2677225,10730,9040,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
488561,raptor,,2677225,8634,9800,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
558027,wolf,,2677225,3636,6544,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
588191,blueCamp,,2677225,3606,8793,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
593694,scuttleCrab,,2677225,5592,9172,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
636191,raptor,,2677225,6745,9412,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
692188,redCamp,,2677225,7208,11921,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
698724,riftHerald,,2677225,4762,9886,JDG,JDG Kanavi,JDG knight,-,-,-,-,-,-,-,-,-
703531,krug,,2677225,6324,12435,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
726640,wolf,,2677225,4486,5962,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
744302,raptor,,2677225,7190,5030,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
756009,dragon,earth,2677225,10509,4997,BLG,BLG XUN,BLG Yagao,BLG Elk,BLG ON,-,-,-,-,-,-,-
773080,redCamp,,2677225,7737,3514,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
773916,scuttleCrab,,2677225,4044,9363,JDG,JDG knight,-,-,-,-,-,-,-,-,-,-
780524,blueCamp,,2677225,11376,6838,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
796360,gromp,,2677225,12315,6306,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
874746,krug,,2677225,6582,12594,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
881164,wolf,,2677225,3398,6863,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
894181,gromp,,2677225,2662,8322,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
895109,raptor,,2677225,7819,9753,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
915332,blueCamp,,2677225,3495,8847,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
920113,raptor,,2677225,6566,4821,JDG,JDG Ruler,-,-,-,-,-,-,-,-,-,-
939364,scuttleCrab,,2677225,4013,9511,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
953376,wolf,,2677225,11468,8301,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
971001,gromp,,2677225,12304,5267,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
997488,krug,,2677225,8332,2532,JDG,JDG 369,-,-,-,-,-,-,-,-,-,-
1002018,redCamp,,2677225,7025,11292,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
1037454,raptor,,2677225,8466,10349,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
1042025,wolf,,2677225,4326,6042,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
1054453,krug,,2677225,6794,12517,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
1087861,riftHerald,,2677225,4923,10007,BLG,BLG XUN,BLG Bin,-,-,-,-,-,-,-,-,-
1089890,dragon,air,2677225,9866,4414,JDG,JDG Kanavi,JDG Ruler,JDG MISSING,JDG knight,-,-,-,-,-,-,-
1091194,gromp,,2677225,2271,8529,JDG,JDG 369,-,-,-,-,-,-,-,-,-,-
1097084,scuttleCrab,,2677225,5269,9194,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
1118207,gromp,,2677225,12525,5738,JDG,JDG knight,-,-,-,-,-,-,-,-,-,-
1118374,blueCamp,,2677225,11276,6364,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
1130519,wolf,,2677225,10735,8767,BLG,BLG Elk,-,-,-,-,-,-,-,-,-,-
1156530,krug,,2677225,8332,2418,JDG,JDG knight,-,-,-,-,-,-,-,-,-,-
1163001,raptor,,2677225,7307,4976,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
1165373,redCamp,,2677225,6730,4414,JDG,JDG Ruler,-,-,-,-,-,-,-,-,-,-
1181965,raptor,,2677225,7437,9715,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
1250590,blueCamp,,2677225,3182,8066,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
1250889,scuttleCrab,,2677225,10689,5412,JDG,JDG knight,-,-,-,-,-,-,-,-,-,-
1257901,krug,,2677225,6321,12435,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
1263119,gromp,,2677225,12617,5590,JDG,JDG knight,-,-,-,-,-,-,-,-,-,-
1266954,gromp,,2677225,2881,8125,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
1280906,wolf,,2677225,3858,6461,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
1298986,wolf,,2677225,11654,7061,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
1305671,raptor,,2677225,6432,4904,JDG,JDG Ruler,-,-,-,-,-,-,-,-,-,-
1314568,redCamp,,2677225,7061,11210,BLG,BLG Elk,-,-,-,-,-,-,-,-,-,-
1372256,raptor,,2677225,6947,9911,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
1409163,scuttleCrab,,2677225,5445,9257,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
1413857,gromp,,2677225,12703,6443,BLG,BLG Bin,-,-,-,-,-,-,-,-,-,-
1421237,krug,,2677225,5649,12317,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
1428795,blueCamp,,2677225,11362,7182,BLG,BLG Bin,-,-,-,-,-,-,-,-,-,-
1434296,dragon,air,2677225,9866,4414,JDG,JDG Kanavi,JDG Ruler,-,-,-,-,-,-,-,-,-
1492638,raptor,,2677225,7053,4420,JDG,JDG Ruler,-,-,-,-,-,-,-,-,-,-
1499480,redCamp,,2677225,6925,4234,JDG,JDG Ruler,-,-,-,-,-,-,-,-,-,-
104209,raptor,,2677229,7041,4638,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
107943,wolf,,2677229,4786,5863,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
122062,redCamp,,2677229,8222,3558,JDG,JDG 369,-,-,-,-,-,-,-,-,-,-
163084,krug,,2677229,9132,2541,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
166152,blueCamp,,2677229,11544,6995,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
180233,gromp,,2677229,12345,6689,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
223747,scuttleCrab,,2677229,10506,4804,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
241025,scuttleCrab,,2677229,5552,9160,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
255239,raptor,,2677229,7490,9937,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
273120,redCamp,,2677229,7633,10949,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
273918,blueCamp,,2677229,2905,8373,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
290394,gromp,,2677229,2990,7566,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
306785,wolf,,2677229,4619,5858,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
312927,wolf,,2677229,11619,8246,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
326037,raptor,,2677229,7170,3915,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
335065,gromp,,2677229,11943,6603,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
343844,krug,,2677229,9009,2434,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
373307,dragon,chemtech,2677229,10379,4915,JDG,JDG Kanavi,JDG Ruler,JDG MISSING,BLG ON,-,-,-,-,-,-,-
423834,raptor,,2677229,7230,9819,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
429406,scuttleCrab,,2677229,3429,10125,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
437055,krug,,2677229,6317,12146,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
465755,wolf,,2677229,3085,7557,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
470496,wolf,,2677229,11600,7884,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
485296,gromp,,2677229,3130,8365,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
490157,blueCamp,,2677229,11602,6613,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
518454,riftHerald,,2677229,4877,10055,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
550305,raptor,,2677229,7600,5045,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
576040,redCamp,,2677229,7637,2590,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
585738,scuttleCrab,,2677229,10981,5212,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
589964,krug,,2677229,9068,2588,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
607639,gromp,,2677229,12607,5721,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
649566,wolf,,2677229,3430,7722,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
661589,blueCamp,,2677229,3653,8725,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
675306,redCamp,,2677229,7096,11122,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
718092,krug,,2677229,6802,12782,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
732113,dragon,water,2677229,10110,4621,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
741990,raptor,,2677229,8024,9644,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
769795,scuttleCrab,,2677229,10249,4748,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
776766,wolf,,2677229,11298,8410,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
791204,gromp,,2677229,12301,6748,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
815674,blueCamp,,2677229,10578,6594,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
818910,raptor,,2677229,7264,4743,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
856938,krug,,2677229,6317,12146,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
899646,wolf,,2677229,3146,7179,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
904050,riftHerald,,2677229,4484,9767,JDG,JDG Kanavi,JDG MISSING,JDG 369,-,-,-,-,-,-,-,-
914871,gromp,,2677229,2730,8014,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
925529,scuttleCrab,,2677229,4114,9450,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
930366,redCamp,,2677229,6712,4411,BLG,BLG Elk,-,-,-,-,-,-,-,-,-,-
946246,raptor,,2677229,8019,9856,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
981423,wolf,,2677229,11057,8390,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
986033,raptor,,2677229,8043,5315,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
1017379,redCamp,,2677229,7240,12016,JDG,JDG Ruler,-,-,-,-,-,-,-,-,-,-
1017911,gromp,,2677229,12103,6846,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
1035369,krug,,2677229,7071,12542,JDG,JDG Ruler,-,-,-,-,-,-,-,-,-,-
1051354,dragon,fire,2677229,9866,4414,BLG,BLG XUN,BLG Yagao,BLG Elk,-,-,-,-,-,-,-,-
1062982,blueCamp,,2677229,3852,8232,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
1085995,scuttleCrab,,2677229,5847,9004,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
1093004,raptor,,2677229,7844,9611,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
1130773,blueCamp,,2677229,10465,6580,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
1138070,wolf,,2677229,10457,8861,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
1151690,raptor,,2677229,7168,5274,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
1193262,gromp,,2677229,12703,6443,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
1240052,raptor,,2677229,6409,9405,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
1249061,scuttleCrab,,2677229,4442,9009,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
1261562,krug,,2677229,6492,12568,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
1283484,redCamp,,2677229,7141,4564,BLG,BLG Elk,-,-,-,-,-,-,-,-,-,-
1285520,wolf,,2677229,11008,8387,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
1291123,wolf,,2677229,4274,5978,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
1305769,krug,,2677229,8524,2561,BLG,BLG Bin,-,-,-,-,-,-,-,-,-,-
1335568,redCamp,,2677229,7221,10758,JDG,JDG Ruler,-,-,-,-,-,-,-,-,-,-
1339812,gromp,,2677229,12610,6484,BLG,BLG Bin,-,-,-,-,-,-,-,-,-,-
1392845,raptor,,2677229,7880,9662,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
1396974,dragon,fire,2677229,9792,4657,BLG,BLG Bin,BLG XUN,-,-,-,-,-,-,-,-,-
1411170,krug,,2677229,6524,12463,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
1422262,raptor,,2677229,7067,5115,BLG,BLG Elk,-,-,-,-,-,-,-,-,-,-
1430763,blueCamp,,2677229,2801,8368,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
1433059,wolf,,2677229,10952,8467,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
1438080,gromp,,2677229,2824,7986,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
1442482,blueCamp,,2677229,11031,6990,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
1448408,scuttleCrab,,2677229,8904,5739,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
1449912,wolf,,2677229,4506,6404,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
1460629,krug,,2677229,8380,2505,BLG,BLG Bin,-,-,-,-,-,-,-,-,-,-
1529036,baron,,2677229,5007,10471,BLG,BLG XUN,BLG Yagao,BLG Elk,-,-,-,-,-,-,-,-
1584277,krug,,2677229,6317,12146,JDG,JDG Kanavi,-,-,-,-,-,-,-,-,-,-
1610828,wolf,,2677229,2608,8117,BLG,BLG XUN,-,-,-,-,-,-,-,-,-,-
