gameId,summonerName,perk1,perk1Img,perk2,perk2Img,perk3,perk3Img,perk4,perk4Img,perk5,perk5Img,perk6,perk6Img
2677230,JDG 369,Livro de Feitiços Deslacrado,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/unsealedspellbook/unsealedspellbook.png,Calçados Mágicos,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/magicalfootwear/magicalfootwear.png,Entrega de Biscoitos,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/biscuitdelivery/biscuitdelivery.png,Perspicácia Cósmica,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/cosmicinsight/cosmicinsight.png,Ventos Revigorantes,https://raw.communitydragon.org/latest/game/assets/perks/styles/resolve/secondwind/secondwind.png,Crescimento Excessivo,https://raw.communitydragon.org/latest/game/assets/perks/styles/resolve/overgrowth/overgrowth.png
2677230,JDG Kanavi,Pós-choque,https://raw.communitydragon.org/latest/game/assets/perks/styles/resolve/veteranaftershock/veteranaftershock.png,Fonte da Vida,https://raw.communitydragon.org/latest/game/assets/perks/styles/resolve/fontoflife/fontoflife.png,Condicionamento,https://raw.communitydragon.org/latest/game/assets/perks/styles/resolve/conditioning/conditioning.png,Crescimento Excessivo,https://raw.communitydragon.org/latest/game/assets/perks/styles/resolve/overgrowth/overgrowth.png,Triunfo,https://raw.communitydragon.org/latest/game/assets/perks/styles/precision/triumph.png,Lenda: Tenacidade,https://raw.communitydragon.org/latest/game/assets/perks/styles/precision/legendtenacity/legendtenacity.png
2677230,JDG knight,Primeiro Ataque,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/firststrike/firststrike.png,Calçados Mágicos,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/magicalfootwear/magicalfootwear.png,Entrega de Biscoitos,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/biscuitdelivery/biscuitdelivery.png,Perspicácia Cósmica,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/cosmicinsight/cosmicinsight.png,Ventos Revigorantes,https://raw.communitydragon.org/latest/game/assets/perks/styles/resolve/secondwind/secondwind.png,Crescimento Excessivo,https://raw.communitydragon.org/latest/game/assets/perks/styles/resolve/overgrowth/overgrowth.png
2677230,JDG Ruler,Ritmo Fatal,https://raw.communitydragon.org/latest/game/assets/perks/styles/precision/lethaltempo/lethaltempotemp.png,Cura Excessiva,https://raw.communitydragon.org/latest/game/assets/perks/styles/precision/overheal.png,Lenda: Espontaneidade,https://raw.communitydragon.org/latest/game/assets/perks/styles/precision/legendalacrity/legendalacrity.png,Até a Morte,https://raw.communitydragon.org/latest/game/assets/perks/styles/sorcery/laststand/laststand.png,Foco Absoluto,https://raw.communitydragon.org/latest/game/assets/perks/styles/sorcery/absolutefocus/absolutefocus.png,Tempestade Crescente,https://raw.communitydragon.org/latest/game/assets/perks/styles/sorcery/gatheringstorm/gatheringstorm.png
2677230,JDG MISSING,Aprimoramento Glacial,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/glacialaugment/glacialaugment.png,Flashtração Hextec,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/hextechflashtraption/hextechflashtraption.png,Pulverizador de Tropas,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/miniondematerializer/miniondematerializer.png,Perspicácia Cósmica,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/cosmicinsight/cosmicinsight.png,Osso Revestido,https://raw.communitydragon.org/latest/game/assets/perks/styles/resolve/boneplating/boneplating.png,Inabalável,https://raw.communitydragon.org/latest/game/assets/perks/styles/sorcery/unflinching/unflinching.png
2677230,BLG Bin,Conquistador,https://raw.communitydragon.org/latest/game/assets/perks/styles/precision/conqueror/conqueror.png,Presença de Espírito,https://raw.communitydragon.org/latest/game/assets/perks/styles/precision/presenceofmind/presenceofmind.png,Lenda: Espontaneidade,https://raw.communitydragon.org/latest/game/assets/perks/styles/precision/legendalacrity/legendalacrity.png,Dilacerar,https://raw.communitydragon.org/latest/game/assets/perks/styles/precision/cutdown/cutdown.png,Gosto de Sangue,https://raw.communitydragon.org/latest/game/assets/perks/styles/domination/tasteofblood/greenterror_tasteofblood.png,Caça Suprema,https://raw.communitydragon.org/latest/game/assets/perks/styles/domination/ultimatehunter/ultimatehunter.png
2677230,BLG XUN,Primeiro Ataque,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/firststrike/firststrike.png,Calçados Mágicos,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/magicalfootwear/magicalfootwear.png,Mercado do Futuro,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/futuresmarket/futuresmarket.png,Perspicácia Cósmica,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/cosmicinsight/cosmicinsight.png,Caçador de Tesouros,https://raw.communitydragon.org/latest/game/assets/perks/styles/domination/treasurehunter/treasurehunter.png,Sentinela Zumbi,https://raw.communitydragon.org/latest/game/assets/perks/styles/domination/zombieward/zombieward.png
2677230,BLG Yagao,Primeiro Ataque,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/firststrike/firststrike.png,Sincronia Perfeita,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/perfecttiming/perfecttiming.png,Entrega de Biscoitos,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/biscuitdelivery/biscuitdelivery.png,Perspicácia Cósmica,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/cosmicinsight/cosmicinsight.png,Foco Absoluto,https://raw.communitydragon.org/latest/game/assets/perks/styles/sorcery/absolutefocus/absolutefocus.png,Faixa de Fluxo de Mana,https://raw.communitydragon.org/latest/game/assets/perks/styles/sorcery/manaflowband/manaflowband.png
2677230,BLG Elk,Ritmo Fatal,https://raw.communitydragon.org/latest/game/assets/perks/styles/precision/lethaltempo/lethaltempotemp.png,Cura Excessiva,https://raw.communitydragon.org/latest/game/assets/perks/styles/precision/overheal.png,Lenda: Espontaneidade,https://raw.communitydragon.org/latest/game/assets/perks/styles/precision/legendalacrity/legendalacrity.png,Dilacerar,https://raw.communitydragon.org/latest/game/assets/perks/styles/precision/cutdown/cutdown.png,Foco Absoluto,https://raw.communitydragon.org/latest/game/assets/perks/styles/sorcery/absolutefocus/absolutefocus.png,Tempestade Crescente,https://raw.communitydragon.org/latest/game/assets/perks/styles/sorcery/gatheringstorm/gatheringstorm.png
2677230,BLG ON,Invocar Aery,https://raw.communitydragon.org/latest/game/assets/perks/styles/sorcery/summonaery/summonaery.png,Faixa de Fluxo de Mana,https://raw.communitydragon.org/latest/game/assets/perks/styles/sorcery/manaflowband/manaflowband.png,Transcendência,https://raw.communitydragon.org/latest/game/assets/perks/styles/sorcery/transcendence/transcendence.png,Chamuscar,https://raw.communitydragon.org/latest/game/assets/perks/styles/sorcery/scorch/scorch.png,Entrega de Biscoitos,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/biscuitdelivery/biscuitdelivery.png,Perspicácia Cósmica,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/cosmicinsight/cosmicinsight.png
2677232,BLG Bin,Agilidade nos Pés,https://raw.communitydragon.org/latest/game/assets/perks/styles/precision/fleetfootwork/fleetfootwork.png,Cura Excessiva,https://raw.communitydragon.org/latest/game/assets/perks/styles/precision/overheal.png,Lenda: Tenacidade,https://raw.communitydragon.org/latest/game/assets/perks/styles/precision/legendtenacity/legendtenacity.png,Dilacerar,https://raw.communitydragon.org/latest/game/assets/perks/styles/precision/cutdown/cutdown.png,Ventos Revigorantes,https://raw.communitydragon.org/latest/game/assets/perks/styles/resolve/secondwind/secondwind.png,Demolir,https://raw.communitydragon.org/latest/game/assets/perks/styles/resolve/demolish/demolish.png
2677232,BLG XUN,Pressione o Ataque,https://raw.communitydragon.org/latest/game/assets/perks/styles/precision/presstheattack/presstheattack.png,Triunfo,https://raw.communitydragon.org/latest/game/assets/perks/styles/precision/triumph.png,Lenda: Espontaneidade,https://raw.communitydragon.org/latest/game/assets/perks/styles/precision/legendalacrity/legendalacrity.png,Golpe de Misericórdia,https://raw.communitydragon.org/latest/game/assets/perks/styles/precision/coupdegrace/coupdegrace.png,Calçados Mágicos,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/magicalfootwear/magicalfootwear.png,Perspicácia Cósmica,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/cosmicinsight/cosmicinsight.png
2677232,BLG Yagao,Primeiro Ataque,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/firststrike/firststrike.png,Calçados Mágicos,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/magicalfootwear/magicalfootwear.png,Pulverizador de Tropas,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/miniondematerializer/miniondematerializer.png,Perspicácia Cósmica,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/cosmicinsight/cosmicinsight.png,Ventos Revigorantes,https://raw.communitydragon.org/latest/game/assets/perks/styles/resolve/secondwind/secondwind.png,Inabalável,https://raw.communitydragon.org/latest/game/assets/perks/styles/sorcery/unflinching/unflinching.png
2677232,BLG Elk,Ritmo Fatal,https://raw.communitydragon.org/latest/game/assets/perks/styles/precision/lethaltempo/lethaltempotemp.png,Presença de Espírito,https://raw.communitydragon.org/latest/game/assets/perks/styles/precision/presenceofmind/presenceofmind.png,Lenda: Linhagem,https://raw.communitydragon.org/latest/game/assets/perks/styles/precision/legendbloodline/legendbloodline.png,Dilacerar,https://raw.communitydragon.org/latest/game/assets/perks/styles/precision/cutdown/cutdown.png,Entrega de Biscoitos,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/biscuitdelivery/biscuitdelivery.png,Calçados Mágicos,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/magicalfootwear/magicalfootwear.png
2677232,BLG ON,Guardião,https://raw.communitydragon.org/latest/game/assets/perks/styles/resolve/guardian/guardian.png,Golpe de Escudo,https://raw.communitydragon.org/latest/game/assets/perks/styles/resolve/mirrorshell/mirrorshell.png,Ventos Revigorantes,https://raw.communitydragon.org/latest/game/assets/perks/styles/resolve/secondwind/secondwind.png,Inabalável,https://raw.communitydragon.org/latest/game/assets/perks/styles/sorcery/unflinching/unflinching.png,Pulverizador de Tropas,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/miniondematerializer/miniondematerializer.png,Perspicácia Cósmica,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/cosmicinsight/cosmicinsight.png
2677232,JDG 369,Cometa Arcano,https://raw.communitydragon.org/latest/game/assets/perks/styles/sorcery/arcanecomet/arcanecomet.png,Faixa de Fluxo de Mana,https://raw.communitydragon.org/latest/game/assets/perks/styles/sorcery/manaflowband/manaflowband.png,Transcendência,https://raw.communitydragon.org/latest/game/assets/perks/styles/sorcery/transcendence/transcendence.png,Chamuscar,https://raw.communitydragon.org/latest/game/assets/perks/styles/sorcery/scorch/scorch.png,Entrega de Biscoitos,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/biscuitdelivery/biscuitdelivery.png,Perspicácia Cósmica,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/cosmicinsight/cosmicinsight.png
2677232,JDG Kanavi,Primeiro Ataque,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/firststrike/firststrike.png,Calçados Mágicos,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/magicalfootwear/magicalfootwear.png,Mercado do Futuro,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/futuresmarket/futuresmarket.png,Perspicácia Cósmica,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/cosmicinsight/cosmicinsight.png,Golpe Desleal,https://raw.communitydragon.org/latest/game/assets/perks/styles/domination/cheapshot/cheapshot.png,Caçador de Tesouros,https://raw.communitydragon.org/latest/game/assets/perks/styles/domination/treasurehunter/treasurehunter.png
2677232,JDG knight,Ímpeto Gradual,https://raw.communitydragon.org/latest/game/assets/perks/styles/sorcery/phaserush/phaserush.png,Faixa de Fluxo de Mana,https://raw.communitydragon.org/latest/game/assets/perks/styles/sorcery/manaflowband/manaflowband.png,Foco Absoluto,https://raw.communitydragon.org/latest/game/assets/perks/styles/sorcery/absolutefocus/absolutefocus.png,Chamuscar,https://raw.communitydragon.org/latest/game/assets/perks/styles/sorcery/scorch/scorch.png,Calçados Mágicos,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/magicalfootwear/magicalfootwear.png,Entrega de Biscoitos,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/biscuitdelivery/biscuitdelivery.png
2677232,JDG Ruler,Agilidade nos Pés,https://raw.communitydragon.org/latest/game/assets/perks/styles/precision/fleetfootwork/fleetfootwork.png,Cura Excessiva,https://raw.communitydragon.org/latest/game/assets/perks/styles/precision/overheal.png,Lenda: Linhagem,https://raw.communitydragon.org/latest/game/assets/perks/styles/precision/legendbloodline/legendbloodline.png,Dilacerar,https://raw.communitydragon.org/latest/game/assets/perks/styles/precision/cutdown/cutdown.png,Foco Absoluto,https://raw.communitydragon.org/latest/game/assets/perks/styles/sorcery/absolutefocus/absolutefocus.png,Tempestade Crescente,https://raw.communitydragon.org/latest/game/assets/perks/styles/sorcery/gatheringstorm/gatheringstorm.png
2677232,JDG MISSING,Aprimoramento Glacial,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/glacialaugment/glacialaugment.png,Flashtração Hextec,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/hextechflashtraption/hextechflashtraption.png,Pulverizador de Tropas,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/miniondematerializer/miniondematerializer.png,Perspicácia Cósmica,https://raw.communitydragon.org/latest/game/assets/perks/styles/inspiration/cosmicinsight/cosmicinsight.png,Osso Revestido,https://raw.communitydragon.org/latest/game/assets/perks/styles/resolve/boneplating/boneplating.png,Inabalável,https://raw.communitydragon.org/latest/game/assets/perks/styles/sorcery/unflinching/unflinching.png
